week_end,race_eth,n_onedose,n_bivalent,n_2023,coverage_onedose,coverage_bivalent,coverage_2023
2022-02-05,Non-Hispanic Asian,159637,0,0,84.7,0,0
2022-02-05,Non-Hispanic Black,229238,0,0,62,0,0
2022-02-05,Non-Hispanic Other,191236,0,0,>90,0,0
2022-02-05,Non-Hispanic White,877528,0,0,76.9,0,0
2022-02-12,Hispanic/Latino,328360,0,0,62.8,0,0
2022-02-12,Non-Hispanic Asian,160162,0,0,85,0,0
2022-02-12,Non-Hispanic Black,230989,0,0,62.5,0,0
2022-02-12,Non-Hispanic Other,191764,0,0,>90,0,0
2022-02-12,Non-Hispanic White,879602,0,0,77.1,0,0
2022-02-19,Hispanic/Latino,330052,0,0,63.1,0,0
2022-02-19,Non-Hispanic Asian,160562,0,0,85.2,0,0
2022-02-19,Non-Hispanic Black,232033,0,0,62.8,0,0
2022-02-19,Non-Hispanic Other,192131,0,0,>90,0,0
2022-02-19,Non-Hispanic White,880729,0,0,77.2,0,0
2022-02-26,Hispanic/Latino,331651,0,0,63.4,0,0
2022-02-26,Non-Hispanic Asian,160886,0,0,85.4,0,0
2022-02-26,Non-Hispanic Black,233014,0,0,63.1,0,0
2022-02-26,Non-Hispanic Other,192521,0,0,>90,0,0
2022-02-26,Non-Hispanic White,881824,0,0,77.3,0,0
2022-03-05,Hispanic/Latino,332793,0,0,63.6,0,0
2022-03-05,Non-Hispanic Asian,161152,0,0,85.5,0,0
2022-03-05,Non-Hispanic Black,233757,0,0,63.3,0,0
2022-03-05,Non-Hispanic Other,192785,0,0,>90,0,0
2022-03-05,Non-Hispanic White,882620,0,0,77.4,0,0
2022-03-12,Hispanic/Latino,333497,0,0,63.7,0,0
2022-03-12,Non-Hispanic Asian,161342,0,0,85.6,0,0
2022-03-12,Non-Hispanic Black,234304,0,0,63.4,0,0
2022-03-12,Non-Hispanic Other,192944,0,0,>90,0,0
2022-03-12,Non-Hispanic White,883235,0,0,77.4,0,0
2022-03-19,Hispanic/Latino,334215,0,0,63.9,0,0
2022-03-19,Non-Hispanic Asian,161539,0,0,85.8,0,0
2022-03-19,Non-Hispanic Black,234790,0,0,63.5,0,0
2022-03-19,Non-Hispanic Other,193110,0,0,>90,0,0
2022-03-19,Non-Hispanic White,883815,0,0,77.5,0,0
